the first three days of the New Year	三が日	[sound:17083.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
Happy New Year. (formal)	あけましておめでとうございます。	[sound:4589.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
Japanese soup containing mochi rice cakes	雑煮	[sound:17085.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
Food served during the New Year's Holidays	おせち料理	[sound:9617.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
New Year's gift of money	お年玉	[sound:3632.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
bag, sack	袋	[sound:6572.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
the practice of making a midnight visit during New Year's Day	二年参り	[sound:17913.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
New Year's Day	元旦	[sound:8520.mp3]	Culture_Class:_Holidays_in_Japan_#1_-_New_Year’s_Day vocabulary
I really enjoyed the meal. Thank you for the meal.	ごちそうさま。	[sound:11757.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
Cheers! (exp.)	乾杯	[sound:3679.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
delicious	美味しい	[sound:3681.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
I will start eating. (lit: I will receive.)	いただきます。	[sound:6148.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
to receive, to take food and drink	頂く	[sound:3680.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
toast	乾杯	[sound:3696.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
natto (fermented soy beans)	納豆	[sound:3697.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
so-so	まあまあ	[sound:3684.mp3]	Introduction_Part_1_-_Where_Did_You_Learn_to_Speak_Japanese_Like_That! vocabulary
How do you do?	初めまして	[sound:3686.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
I, me	私	[sound:3691.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
well, good	宜しく	[sound:3692.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
Please.	お願いします。	[sound:3693.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
Yamaguchi (surname)	山口	[sound:3785.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
Watanabe (surname)	渡辺	[sound:3786.mp3]	Introduction_Part_2_-_First_Impressions vocabulary
初めまして。	Nice to meet you.	[sound:0000001.mp3]	Introduction_Part_2_-_First_Impressions dialogue
	I am Chigusa Yamaguchi. 	[sound:0000002.mp3]	Introduction_Part_2_-_First_Impressions dialogue
	Please be kind to me.	[sound:0000003.mp3]	Introduction_Part_2_-_First_Impressions dialogue
初めまして。	Nice to meet you.	[sound:0000004.mp3]	Introduction_Part_2_-_First_Impressions dialogue
	I am Yoshihiro Watanabe. 	[sound:0000005.mp3]	Introduction_Part_2_-_First_Impressions dialogue
宜しくお願いします。	Please be kind to me.	[sound:0000006.mp3]	Introduction_Part_2_-_First_Impressions dialogue
vigor, high spirit	元気	[sound:3687.mp3]	Introduction_Part_3_-_On_Cloud_Nine vocabulary
great, amazing	凄い	[sound:3688.mp3]	Introduction_Part_3_-_On_Cloud_Nine vocabulary
in top condition	絶好調	[sound:3689.mp3]	Introduction_Part_3_-_On_Cloud_Nine vocabulary
perfectly	ばっちり	[sound:3812.mp3]	Introduction_Part_3_-_On_Cloud_Nine vocabulary
お元気ですか。	How are you?	[sound:0000007.mp3]	Introduction_Part_3_-_On_Cloud_Nine dialogue
はい、元気ですよ。	I'm fine.	[sound:0000008.mp3]	Introduction_Part_3_-_On_Cloud_Nine dialogue
お元気ですか。	How are you?	[sound:0000009.mp3]	Introduction_Part_3_-_On_Cloud_Nine dialogue
はい、絶好調です！	I'm doing amazing.	[sound:0000010.mp3]	Introduction_Part_3_-_On_Cloud_Nine dialogue
Japanese sandals	草履	[sound:3654.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
Japanese wooden footgear	下駄	[sound:3657.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
ceremonial skirt/ Formal men’s divided skirt/ Japanese kilt	袴	[sound:3656.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
Japanese socks	足袋	[sound:3655.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
Coming of Age Day	成人の日	[sound:3649.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
coming-of-age ceremony	成人式	[sound:3650.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
kimono	着物	[sound:3651.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
long-sleeved kimono worn by unmarried women	振袖	[sound:3652.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
belt for kimono	帯	[sound:3653.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
study	勉強	[sound:3658.mp3]	Japanese_Culture_Class_#1_-_Coming-of-Age vocabulary
superstition	迷信	[sound:3633.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
hearse	霊柩車	[sound:3634.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
thumb	親指	[sound:3635.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
spider of the night, night’s spider	夜の蜘蛛	[sound:3636.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
beckoning cat, welcoming cat (has his paw up)	招き猫	[sound:3638.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
amulet, charm, lucky charm	お守り	[sound:3640.mp3]	Japanese_Culture_Class_#2_-_Japanese_Superstitions vocabulary
University Testing Center Examination (UTCE)	大学入試センター試験	[sound:3225.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
history	歴史	[sound:3236.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
national language	国語	[sound:3237.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
language	-語	[sound:3239.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
Japanese	日本語	[sound:3240.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
English	英語	[sound:3241.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
mathematics	数学	[sound:3242.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
prep school	予備校	[sound:3243.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
student who failed an entrance exam and is preparing for the next	浪人生	[sound:3244.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
geography	地理	[sound:3235.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
Tokyo University	東京大学	[sound:3234.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
university, college	大学	[sound:3226.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
entrance examination	入試	[sound:3227.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
center	センター	[sound:3228.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
test, exam	試験	[sound:3229.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
Aoyama School	青山学院	[sound:3230.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
blue	青	[sound:3231.mp3]	Japanese_Culture_Class_#3_-_The_Japanese_SAT_(kinda)_-_UTCE_-_University_Testing_Center_Examination! vocabulary
